danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,like,song_name
0.749,0.839,6,-4.847,1,0.297,0.0867,0.0,0.204,0.804,172.068,55mcupbf7cIsuCEVAuTJVk,111000,4,1,OVGTC - Star Wars remix
0.573,0.581,10,-9.026,0,0.339,0.753,1.39e-06,0.13,0.351,76.506,57RtLWT7IpugV0yi5bsxJk,169347,4,1,Rêves de môme
0.8,0.719,7,-6.262,1,0.234,0.109,0.0,0.058,0.815,143.975,5VyfAfp2Yt3qaeuvq55ll3,230854,4,1,4 millions
0.778,0.632,8,-6.415,1,0.125,0.0404,0.0,0.0912,0.827,140.951,3eWHY75nDgte70hh5yf4UW,224029,4,1,Bandana mauve
0.797,0.852,8,-5.202,1,0.241,0.0555,2.45e-05,0.0536,0.48,136.035,2UwrB6Ge6mPfUV8yGvAfX7,102353,4,1,Brothers (Remix Rilès)
0.743,0.663,2,-8.47,1,0.0507,0.0148,0.000666,0.393,0.415,132.012,4HolRqFuNvTvoLR2l1gexi,100000,4,1,Challenge incroyable #2
0.915,0.551,8,-10.49,1,0.343,0.0342,0.0,0.102,0.753,124.906,6dS1JCvtMJQ1O9bseVLyJz,88320,4,1,Freestyle Challenge
0.798,0.835,9,-3.832,1,0.202,0.165,0.0,0.112,0.609,150.04,3zCWbPJVp1egCgyoMYAsDN,139240,4,1,Electron libérable
0.827,0.804,9,-5.846,1,0.128,0.455,1.41e-06,0.272,0.566,146.079,0O4U6fVE1TwWYhM4fKr1Fh,178588,4,1,WAW
0.83,0.707,2,-5.777,1,0.277,0.167,0.0,0.0797,0.682,146.154,3yFf0EtFwkiVSbf8CK4CB3,190685,4,1,EN ATTENDANT
0.792,0.536,9,-10.784,1,0.0793,0.000809,0.00245,0.0804,0.451,100.047,4KMKVNmgBs8L2MMkJ3iDtG,149000,4,1,Bang Bang
0.64,0.852,5,-6.81,0,0.039,0.00418,1.08e-06,0.146,0.861,145.009,2ODYKhD4xlPViKP4LrNAwD,190000,4,1,La marelle
